Id,CodeArticle,CodeBarre,Libelle,CodeDim1,LibelleDim1,CodeDim2,LibelleDim2,Fournisseur,FamilleNiv1,FamilleNiv2,FamilleNiv3,FamilleNiv4,FamilleNiv5,FamilleNiv6,FamilleNiv7,FamilleNiv8,Quantite_Achat,DateLibre,Prix_Vente_TND,Prix_Achat_TND,IdCategorie
1,ART000001,1234560000001,Samsung Réfrigérateur,DIM1-1,Dimension 1 Article 1,DIM2-1,Dimension 2 Article 1,LG Electronics,Famille1-1,Famille2-1,Famille3-1,Famille4-1,Famille5-1,Famille6-1,Famille7-1,Famille8-1,100,2025-06-20,2319.72,1771.34,CAT001
2,ART000002,1234560000002,Omron Thermomètre,DIM1-2,Dimension 1 Article 2,DIM2-2,Dimension 2 Article 2,Unilever North Africa,Famille1-2,Famille2-2,Famille3-2,Famille4-2,Famille5-2,Famille6-2,Famille7-2,Famille8-2,76,2024-08-21,49.93,34.61,CAT010
3,ART000003,1234560000003,Logitech Clavier,DIM1-3,Dimension 1 Article 3,DIM2-3,Dimension 2 Article 3,Decathlon Tunisia,Famille1-3,Famille2-3,Famille3-3,Famille4-3,Famille5-3,Famille6-3,Famille7-3,Famille8-3,39,2024-10-17,31.29,19.72,CAT008
4,ART000004,1234560000004,Palmolive Savon,DIM1-4,Dimension 1 Article 4,DIM2-4,Dimension 2 Article 4,Nestlé Tunisia,Famille1-4,Famille2-4,Famille3-4,Famille4-4,Famille5-4,Famille6-4,Famille7-4,Famille8-4,99,2026-06-16,5.92,4.03,CAT004
5,ART000005,1234560000005,Mango Pantalon,DIM1-5,Dimension 1 Article 5,DIM2-5,Dimension 2 Article 5,LG Electronics,Famille1-5,Famille2-5,Famille3-5,Famille4-5,Famille5-5,Famille6-5,Famille7-5,Famille8-5,81,2024-08-30,134.77,103.19,CAT002
6,ART000006,1234560000006,Mango Robe,DIM1-6,Dimension 1 Article 6,DIM2-6,Dimension 2 Article 6,Unilever North Africa,Famille1-6,Famille2-6,Famille3-6,Famille4-6,Famille5-6,Famille6-6,Famille7-6,Famille8-6,4,2024-08-15,198.3,127.55,CAT002
7,ART000007,1234560000007,Mobilia Oreiller,DIM1-7,Dimension 1 Article 7,DIM2-7,Dimension 2 Article 7,Monoprix,Famille1-7,Famille2-7,Famille3-7,Famille4-7,Famille5-7,Famille6-7,Famille7-7,Famille8-7,80,2026-03-01,72.28,45.79,CAT005
8,ART000008,1234560000008,Bosch Batterie,DIM1-8,Dimension 1 Article 8,DIM2-8,Dimension 2 Article 8,Adidas MENA,Famille1-8,Famille2-8,Famille3-8,Famille4-8,Famille5-8,Famille6-8,Famille7-8,Famille8-8,32,2025-05-07,169.93,113.37,CAT007
9,ART000009,1234560000009,Safi Huile d'olive,DIM1-9,Dimension 1 Article 9,DIM2-9,Dimension 2 Article 9,Samsung Tunisia,Famille1-9,Famille2-9,Famille3-9,Famille4-9,Famille5-9,Famille6-9,Famille7-9,Famille8-9,46,2024-09-28,31.39,18.85,CAT003
10,ART000010,1234560000010,Délice Yaourt,DIM1-10,Dimension 1 Article 10,DIM2-10,Dimension 2 Article 10,Apple MENA,Famille1-10,Famille2-10,Famille3-10,Famille4-10,Famille5-10,Famille6-10,Famille7-10,Famille8-10,31,2025-09-02,4.67,3.07,CAT003
11,ART000011,1234560000011,Pull&Bear Pantalon,DIM1-11,Dimension 1 Article 11,DIM2-11,Dimension 2 Article 11,Adidas MENA,Famille1-11,Famille2-11,Famille3-11,Famille4-11,Famille5-11,Famille6-11,Famille7-11,Famille8-11,44,2025-11-16,139.15,107.6,CAT002
12,ART000012,1234560000012,Omron Thermomètre,DIM1-12,Dimension 1 Article 12,DIM2-12,Dimension 2 Article 12,Danone Tunisia,Famille1-12,Famille2-12,Famille3-12,Famille4-12,Famille5-12,Famille6-12,Famille7-12,Famille8-12,42,2024-09-18,77.0,53.31,CAT010
13,ART000013,1234560000013,Samsung Réfrigérateur,DIM1-13,Dimension 1 Article 13,DIM2-13,Dimension 2 Article 13,Danone Tunisia,Famille1-13,Famille2-13,Famille3-13,Famille4-13,Famille5-13,Famille6-13,Famille7-13,Famille8-13,25,2024-11-08,2016.51,1310.16,CAT001
14,ART000014,1234560000014,Mango Robe,DIM1-14,Dimension 1 Article 14,DIM2-14,Dimension 2 Article 14,Carrefour Tunisie,Famille1-14,Famille2-14,Famille3-14,Famille4-14,Famille5-14,Famille6-14,Famille7-14,Famille8-14,25,2025-04-27,115.5,75.1,CAT002
15,ART000015,1234560000015,Huawei Smartphone,DIM1-15,Dimension 1 Article 15,DIM2-15,Dimension 2 Article 15,Nike Middle East,Famille1-15,Famille2-15,Famille3-15,Famille4-15,Famille5-15,Famille6-15,Famille7-15,Famille8-15,23,2025-01-08,1120.78,877.28,CAT009
16,ART000016,1234560000016,Bosch Machine à laver,DIM1-16,Dimension 1 Article 16,DIM2-16,Dimension 2 Article 16,LG Electronics,Famille1-16,Famille2-16,Famille3-16,Famille4-16,Famille5-16,Famille6-16,Famille7-16,Famille8-16,67,2026-05-07,1402.23,953.86,CAT001
17,ART000017,1234560000017,Casa Oreiller,DIM1-17,Dimension 1 Article 17,DIM2-17,Dimension 2 Article 17,Decathlon Tunisia,Famille1-17,Famille2-17,Famille3-17,Famille4-17,Famille5-17,Famille6-17,Famille7-17,Famille8-17,41,2025-02-26,42.38,30.26,CAT005
18,ART000018,1234560000018,Adidas Chaussures de sport,DIM1-18,Dimension 1 Article 18,DIM2-18,Dimension 2 Article 18,Puma Tunisia,Famille1-18,Famille2-18,Famille3-18,Famille4-18,Famille5-18,Famille6-18,Famille7-18,Famille8-18,43,2026-02-23,135.87,88.33,CAT006
19,ART000019,1234560000019,Exide Batterie,DIM1-19,Dimension 1 Article 19,DIM2-19,Dimension 2 Article 19,Adidas MENA,Famille1-19,Famille2-19,Famille3-19,Famille4-19,Famille5-19,Famille6-19,Famille7-19,Famille8-19,6,2025-04-16,205.44,126.01,CAT007
20,ART000020,1234560000020,IKEA Tapis,DIM1-20,Dimension 1 Article 20,DIM2-20,Dimension 2 Article 20,Samsung Tunisia,Famille1-20,Famille2-20,Famille3-20,Famille4-20,Famille5-20,Famille6-20,Famille7-20,Famille8-20,86,2026-06-06,144.38,114.32,CAT005
21,ART000021,1234560000021,Casa Oreiller,DIM1-21,Dimension 1 Article 21,DIM2-21,Dimension 2 Article 21,Carrefour Tunisie,Famille1-21,Famille2-21,Famille3-21,Famille4-21,Famille5-21,Famille6-21,Famille7-21,Famille8-21,59,2024-11-23,53.66,35.77,CAT005
22,ART000022,1234560000022,Puma Chaussures de sport,DIM1-22,Dimension 1 Article 22,DIM2-22,Dimension 2 Article 22,LG Electronics,Famille1-22,Famille2-22,Famille3-22,Famille4-22,Famille5-22,Famille6-22,Famille7-22,Famille8-22,11,2025-07-12,263.43,191.56,CAT006
23,ART000023,1234560000023,Wilson Raquette de tennis,DIM1-23,Dimension 1 Article 23,DIM2-23,Dimension 2 Article 23,Nike Middle East,Famille1-23,Famille2-23,Famille3-23,Famille4-23,Famille5-23,Famille6-23,Famille7-23,Famille8-23,16,2026-04-09,314.29,208.6,CAT006
24,ART000024,1234560000024,Vitalait Yaourt,DIM1-24,Dimension 1 Article 24,DIM2-24,Dimension 2 Article 24,Adidas MENA,Famille1-24,Famille2-24,Famille3-24,Famille4-24,Famille5-24,Famille6-24,Famille7-24,Famille8-24,83,2024-10-18,3.22,1.93,CAT003
25,ART000025,1234560000025,LG Réfrigérateur,DIM1-25,Dimension 1 Article 25,DIM2-25,Dimension 2 Article 25,L'Oréal Tunisie,Famille1-25,Famille2-25,Famille3-25,Famille4-25,Famille5-25,Famille6-25,Famille7-25,Famille8-25,8,2025-11-12,1303.16,890.67,CAT001
26,ART000026,1234560000026,Casa Lampe,DIM1-26,Dimension 1 Article 26,DIM2-26,Dimension 2 Article 26,Danone Tunisia,Famille1-26,Famille2-26,Famille3-26,Famille4-26,Famille5-26,Famille6-26,Famille7-26,Famille8-26,17,2025-05-15,74.94,53.56,CAT005
27,ART000027,1234560000027,Olio Huile d'olive,DIM1-27,Dimension 1 Article 27,DIM2-27,Dimension 2 Article 27,Samsung Tunisia,Famille1-27,Famille2-27,Famille3-27,Famille4-27,Famille5-27,Famille6-27,Famille7-27,Famille8-27,46,2024-10-25,24.93,19.81,CAT003
28,ART000028,1234560000028,Bosch Batterie,DIM1-28,Dimension 1 Article 28,DIM2-28,Dimension 2 Article 28,L'Oréal Tunisie,Famille1-28,Famille2-28,Famille3-28,Famille4-28,Famille5-28,Famille6-28,Famille7-28,Famille8-28,55,2024-09-09,187.78,114.07,CAT007
