IdCategorie,Nom,Description
CAT001,Catégorie 1,Description de la catégorie 1
CAT002,Catégorie 2,Description de la catégorie 2
CAT003,Catégorie 3,Description de la catégorie 3
CAT004,Catégorie 4,Description de la catégorie 4
CAT005,Catégorie 5,Description de la catégorie 5
CAT006,Catégorie 6,Description de la catégorie 6
CAT007,Catégorie 7,Description de la catégorie 7
CAT008,Catégorie 8,Description de la catégorie 8
CAT009,Catégorie 9,Description de la catégorie 9
CAT010,Catégorie 10,Description de la catégorie 10
CAT011,Catégorie 11,Description de la catégorie 11
CAT012,Catégorie 12,Description de la catégorie 12
CAT013,Catégorie 13,Description de la catégorie 13
CAT014,Catégorie 14,Description de la catégorie 14
CAT015,Catégorie 15,Description de la catégorie 15
CAT016,Catégorie 16,Description de la catégorie 16
CAT017,Catégorie 17,Description de la catégorie 17
CAT018,Catégorie 18,Description de la catégorie 18
CAT019,Catégorie 19,Description de la catégorie 19
CAT020,Catégorie 20,Description de la catégorie 20
