Id,Code,Libelle,Adresse,Ville,Type,Secteur
1,ETB001,"Supermarché Lindsey, Bradley and Gonzales","671, avenue Laure Pierre
20886 BigotVille",Gafsa,Supermarché,Centre Commercial
2,ETB002,Supermarché Bazin SARL,"7326 Lisa Radial
Romerochester, NY 72829",Nabeul,Supermarché,Zone Industrielle
3,ETB003,Boutique Johnson PLC,"58679 Calderon Square Apt. 644
Williamsfurt, ID 20211",Nabeul,Entrepôt,Banlieue
4,ETB004,Hypermarché Franco-Barrett,"587 Cruz Green Suite 715
Meaganbury, KY 58612",Monastir,Entrepôt,Centre Ville
5,ETB005,Supermarché Holland-Love,"rue Capucine Costa
21714 Sainte Margaret",Sousse,Hypermarché,Centre Commercial
6,ETB006,Entrepôt Johns-May,"75480 Warren Landing
New Jason, VA 70451",Médenine,Supermarché,Quartier Résidentiel
7,ETB007,Magasin Carpenter-Lopez,"964, chemin Valette
04586 Albert",Béja,Entrepôt,Quartier Résidentiel
8,ETB008,Hypermarché Paris SA,"24051 Leah Divide Suite 583
Welchchester, IL 26989",Tataouine,Boutique,Centre Commercial
9,ETB009,Boutique Mcdonald-Holland,"0332 Gonzalez Tunnel Suite 415
Port Brian, WV 75941",Tataouine,Hypermarché,Centre Commercial
10,ETB010,Hypermarché Brown Inc,"16, boulevard Frédéric Normand
76435 Sainte Théophile-la-Forêt",Monastir,Boutique,Centre Ville
11,ETB011,Supermarché Knight-Harrison,"rue Rémy Deschamps
27429 Bègueboeuf",Béja,Supermarché,Zone Industrielle
12,ETB012,"Magasin Potts, Rice and Clark","260 Kathleen Burgs Suite 875
Avilaton, NJ 11667",Médenine,Magasin,Zone Industrielle
13,ETB013,Entrepôt Brunel Vidal S.A.,"PSC 3912, Box 3774
APO AA 78911",Mahdia,Entrepôt,Centre Ville
14,ETB014,"Hypermarché Garcia, Doyle and Clark","670, boulevard de Merle
02601 François-sur-Thierry",Gafsa,Magasin,Centre Ville
15,ETB015,Magasin Clerc,"4070 Rose Trace
Scottview, NY 26227",Médenine,Magasin,Quartier Résidentiel
16,ETB016,Supermarché Adam Blondel SARL,"404 Oliver Neck Apt. 809
East Davidmouth, OH 66829",Kasserine,Supermarché,Zone Industrielle
17,ETB017,Hypermarché Boucher,"68, boulevard de Gaudin
34367 Dupont",Ben Arous,Hypermarché,Banlieue
18,ETB018,"Entrepôt Matthews, Johnson and Forbes","16, chemin de Meyer
54734 Valette-sur-Vincent",Bizerte,Entrepôt,Zone Industrielle
19,ETB019,Magasin Leroux,"799, rue Matthieu Lefebvre
76942 Moulin",Ben Arous,Hypermarché,Zone Industrielle
20,ETB020,Boutique Gomez-Costa,"691, rue Suzanne Arnaud
87574 Goncalves",Nabeul,Entrepôt,Centre Ville
21,ETB021,Boutique Rodrigues et Fils,"04231 Holly Trace Suite 820
Allisonville, WY 91349",Kébili,Entrepôt,Banlieue
22,ETB022,Boutique Lefèvre Perrot SARL,"577 Dyer Radial
West Mariah, MA 84136",Gafsa,Supermarché,Banlieue
23,ETB023,Boutique Fox Inc,"2382 Frederick Walk
New Michael, CT 66619",Gafsa,Entrepôt,Quartier Résidentiel
24,ETB024,Entrepôt Pitts LLC,"5903 Sharon Crossing
Lunamouth, PR 40259",Béja,Boutique,Zone Industrielle
25,ETB025,"Magasin Shaw, Hughes and Leonard","849 Nicole Vista Suite 089
Lake Jonathan, MT 93803",Kasserine,Supermarché,Centre Commercial
