Id,QuantitePhysique,StockMin,VenteFFO,LivreFou,Transfert,AnnonceTrf,Valeur_Stock_TND,ArticleId
1,16,63,1,1,10,26,12109.76,94
2,696,95,4,28,3,25,816707.28,197
3,850,95,10,92,5,1,1144703.5,856
4,524,23,20,41,17,20,23370.4,426
5,639,36,34,50,13,3,121467.51,195
6,218,23,22,41,5,0,172928.5,238
7,669,50,0,49,6,14,724613.97,412
8,67,94,17,83,19,11,80493.8,226
9,68,37,26,38,19,15,72051.44,45
10,729,78,50,72,5,8,36136.53,105
11,97,86,20,80,12,21,108076.43,983
12,995,98,8,42,5,20,906743.5,947
13,905,98,20,85,15,2,363122.2,780
14,18,87,37,57,12,16,8383.68,344
15,759,39,32,75,0,7,450041.46,656
16,631,25,19,30,13,24,378549.52,22
17,634,20,3,17,11,15,55969.52,250
18,206,29,24,26,20,1,29048.06,304
19,945,86,28,94,10,4,717869.25,244
20,325,92,50,97,1,16,352940.25,285
21,424,92,18,96,0,7,104287.04,811
22,750,52,21,31,6,17,1059465.0,868
23,928,95,15,87,7,19,476240.32,56
24,390,76,20,23,14,20,62747.1,894
25,66,72,4,24,1,20,24709.74,7
26,960,36,8,11,5,18,435600.0,145
27,851,36,15,64,2,13,384703.06,563
28,478,49,10,92,6,7,142749.92,743
29,180,87,15,38,9,18,151965.0,435
30,990,91,12,34,15,2,1119897.9,460
31,995,56,25,48,5,15,929588.7,974
32,432,74,39,94,13,24,227136.96,452
33,839,71,1,97,12,13,691554.14,160
34,85,48,38,68,4,17,110928.4,875
35,179,42,24,59,9,14,172792.28,745
36,384,81,38,61,2,10,306912.0,291
37,732,70,12,19,6,0,329129.16,140
38,882,74,46,92,11,15,79468.2,14
39,947,63,25,95,11,12,403317.83,415
40,315,92,37,9,13,28,89888.4,502
41,943,25,24,72,5,6,1296955.05,40
42,446,42,49,96,11,16,401672.06,782
43,500,91,44,47,1,20,348730.0,727
44,948,64,47,31,7,15,1192309.08,395
45,943,56,40,90,0,22,371872.05,36
46,660,28,16,77,14,30,292657.2,682
47,150,42,15,77,18,30,104697.0,698
48,861,30,0,14,2,20,228578.28,679
49,938,59,25,90,18,28,544208.84,729
50,530,34,27,21,13,8,4043.9,83
51,309,74,34,84,12,18,322460.04,709
52,751,62,48,93,2,3,635894.23,316
53,586,54,9,34,6,29,271288.7,652
54,407,99,19,0,5,26,339840.93,767
55,1,22,4,99,13,16,278.17,504
56,670,46,46,55,5,5,891280.9,427
57,190,100,8,25,15,5,44610.1,384
58,971,24,28,72,6,5,277113.69,515
59,60,33,48,24,8,28,12923.4,206
60,418,66,40,79,3,27,60183.64,893
61,170,20,18,10,12,3,78701.5,652
62,65,53,1,74,7,15,25362.35,284
63,688,22,0,7,8,24,917365.44,497
64,7,95,37,5,3,6,4832.73,979
65,810,10,24,77,16,30,590571.0,535
66,272,72,30,96,10,19,109137.28,780
67,344,57,43,43,10,26,126303.04,440
68,963,56,42,51,12,19,1116935.55,246
69,998,55,21,12,0,14,1235114.82,59
