Id,Date,QuantiteFacturee,NumeroFacture,NumLigne,Prix_Vente_TND,Cout_Unitaire_TND,Ventes_Mensuelles_Unites,CA_Mensuel_TND,Profit_Mensuel_TND,Date_Derniere_Vente,ArticleId
1,2024-04-08 13:05:02,47,FAC878251,82,1759.86,1429.64,215,378369.9,50317.44,2024-04-08 13:05:02,3
2,2023-11-25 18:11:54,38,FAC944495,13,193.04,154.18,402,77602.08,10715.64,2023-11-25 18:11:54,678
3,2023-04-12 08:15:54,29,FAC160028,81,1476.73,865.25,325,479937.25,110150.18,2023-04-12 08:15:54,800
4,2024-01-15 21:52:56,48,FAC470500,41,1818.12,1090.12,63,114541.56,27930.4,2024-01-15 21:52:56,68
5,2024-09-09 10:12:47,25,FAC776968,38,1500.5,885.28,456,684228.0,193535.12,2024-09-09 10:12:47,265
6,2024-07-06 01:45:59,49,FAC952246,19,1580.03,1301.86,131,206983.93,24218.79,2024-07-06 01:45:59,438
7,2024-07-09 14:25:31,39,FAC614996,67,145.01,110.79,326,47273.26,9235.1,2024-07-09 14:25:31,637
8,2024-01-17 10:53:21,50,FAC403014,65,998.98,687.36,139,138858.22,36779.57,2024-01-17 10:53:21,85
9,2024-01-05 19:32:18,40,FAC142344,65,1452.25,947.83,210,304972.5,53641.32,2024-01-05 19:32:18,861
10,2024-12-13 21:29:33,28,FAC102931,85,690.73,542.94,72,49732.56,10933.32,2024-12-13 21:29:33,489
11,2024-11-02 16:26:52,17,FAC458077,12,591.69,365.92,243,143780.67,24309.06,2024-11-02 16:26:52,239
12,2023-06-19 02:55:21,24,FAC524865,49,737.02,559.14,190,140033.8,28847.95,2023-06-19 02:55:21,564
13,2023-12-27 22:59:43,37,FAC382496,66,298.32,254.81,261,77861.52,10110.68,2023-12-27 22:59:43,514
14,2023-04-11 00:52:10,15,FAC483999,40,2190.07,1510.91,239,523426.73,121573.59,2023-04-11 00:52:10,237
15,2024-04-16 01:26:51,11,FAC679383,92,195.25,121.54,242,47250.5,11619.84,2024-04-16 01:26:51,618
16,2024-02-19 00:25:10,3,FAC352067,53,628.18,458.59,77,48369.86,8771.7,2024-02-19 00:25:10,501
17,2024-04-22 11:17:16,39,FAC472325,03,48.27,35.61,335,16170.45,3104.8,2024-04-22 11:17:16,394
18,2024-05-14 14:32:48,50,FAC997744,68,307.15,234.79,375,115181.25,33474.1,2024-05-14 14:32:48,384
19,2023-02-02 09:42:44,12,FAC149269,16,944.3,620.64,81,76488.3,11745.71,2023-02-02 09:42:44,219
20,2024-01-29 13:10:43,26,FAC682791,68,345.96,258.41,320,110707.2,13822.11,2024-01-29 13:10:43,299
21,2023-06-24 15:02:08,48,FAC998572,83,1758.59,1384.19,370,650678.3,160494.36,2023-06-24 15:02:08,741
22,2023-08-02 12:42:27,12,FAC361111,67,299.58,227.23,292,87477.36,17468.31,2023-08-02 12:42:27,327
23,2023-04-01 19:20:35,13,FAC779207,09,58.12,43.38,441,25630.92,3525.19,2023-04-01 19:20:35,859
24,2023-09-05 20:10:40,26,FAC248374,90,133.77,110.79,129,17256.33,4048.33,2023-09-05 20:10:40,637
25,2024-07-28 04:52:38,26,FAC647066,74,407.24,263.39,201,81855.24,20070.73,2024-07-28 04:52:38,973
26,2024-12-22 21:08:09,42,FAC412042,21,189.69,118.6,424,80428.56,12989.16,2024-12-22 21:08:09,236
27,2024-05-16 03:24:28,2,FAC236850,48,1436.28,1094.42,264,379177.92,95285.85,2024-05-16 03:24:28,889
28,2024-10-05 08:36:58,47,FAC209149,40,640.47,458.59,320,204950.4,38157.22,2024-10-05 08:36:58,501
29,2023-08-06 21:49:08,50,FAC961968,50,34.67,22.27,286,9915.62,2723.71,2023-08-06 21:49:08,130
30,2024-02-23 07:19:01,19,FAC471904,97,1350.66,834.99,373,503796.18,89663.71,2024-02-23 07:19:01,767
31,2024-01-23 07:09:32,24,FAC295652,52,402.57,268.19,493,198467.01,54517.58,2024-01-23 07:09:32,945
32,2024-08-27 22:59:42,15,FAC816369,24,1670.44,1244.39,238,397564.72,66785.36,2024-08-27 22:59:42,188
33,2024-07-19 09:18:23,19,FAC124394,86,397.22,259.73,493,195829.46,55280.03,2024-07-19 09:18:23,391
34,2023-07-12 14:35:24,6,FAC393378,38,1172.84,797.27,207,242777.88,44243.43,2023-07-12 14:35:24,387
35,2023-09-28 04:07:56,33,FAC123584,99,142.41,110.79,467,66505.47,13704.85,2023-09-28 04:07:56,637
36,2024-09-17 03:38:14,15,FAC831283,65,355.84,233.55,238,84689.92,12558.56,2024-09-17 03:38:14,373
37,2024-02-01 03:03:58,34,FAC240775,60,1239.81,932.9,191,236803.71,39382.88,2024-02-01 03:03:58,444
38,2024-04-26 10:12:56,40,FAC456441,05,911.84,588.98,81,73859.04,17337.34,2024-04-26 10:12:56,191
39,2024-12-05 14:55:26,19,FAC405530,31,710.69,453.75,79,56144.51,16766.17,2024-12-05 14:55:26,145
40,2024-08-18 22:13:46,14,FAC963961,46,227.29,144.0,156,35457.24,10422.53,2024-08-18 22:13:46,903
41,2023-07-05 04:34:56,13,FAC843312,16,431.73,265.48,181,78143.13,16990.22,2023-07-05 04:34:56,679
42,2024-07-13 11:13:43,26,FAC207138,12,908.21,564.3,463,420501.23,53943.25,2024-07-13 11:13:43,457
43,2023-01-26 14:34:17,7,FAC856287,16,478.85,343.45,282,135035.7,27715.04,2023-01-26 14:34:17,753
44,2024-11-30 11:03:01,35,FAC195859,81,996.19,713.72,151,150424.69,22295.84,2024-11-30 11:03:01,626
45,2024-10-04 12:50:50,44,FAC775312,42,373.74,263.39,160,59798.4,7590.89,2024-10-04 12:50:50,973
46,2024-04-11 18:31:56,15,FAC858498,10,454.12,335.65,258,117162.96,31746.79,2024-04-11 18:31:56,303
47,2024-08-18 21:46:55,6,FAC620792,98,1000.92,575.74,363,363333.96,91658.52,2024-08-18 21:46:55,803
48,2024-03-29 05:46:22,21,FAC625004,53,2013.57,1173.43,98,197329.86,37954.94,2024-03-29 05:46:22,197
49,2023-12-15 00:24:43,50,FAC108789,02,1537.94,1178.77,492,756666.48,155037.04,2023-12-15 00:24:43,106
50,2024-06-07 17:20:35,12,FAC130826,76,168.72,123.58,63,10629.36,3182.99,2024-06-07 17:20:35,290
51,2023-07-15 11:19:46,7,FAC234120,77,427.18,328.6,262,111921.16,13699.48,2023-07-15 11:19:46,991
52,2023-11-15 21:43:53,34,FAC450069,61,46.68,26.21,175,8169.0,1941.6,2023-11-15 21:43:53,738
53,2024-02-06 05:24:56,41,FAC963020,77,205.02,120.85,185,37928.7,9324.86,2024-02-06 05:24:56,599
54,2024-10-20 05:25:34,8,FAC751226,88,1354.36,834.99,262,354842.32,100539.04,2024-10-20 05:25:34,767
55,2024-11-27 06:12:27,14,FAC240431,08,1393.88,878.18,362,504584.56,130392.98,2024-11-27 06:12:27,932
56,2023-01-07 13:12:20,5,FAC651510,82,1264.06,914.07,86,108709.16,28449.48,2023-01-07 13:12:20,232
57,2023-02-12 08:44:59,50,FAC336814,30,1053.47,647.18,105,110614.35,22990.74,2023-02-12 08:44:59,196
58,2024-05-08 03:09:37,26,FAC715049,18,1265.44,778.53,225,284724.0,76195.86,2024-05-08 03:09:37,799
59,2024-08-19 07:29:31,49,FAC858072,21,1830.62,1309.68,149,272762.38,36582.93,2024-08-19 07:29:31,96
60,2023-06-03 04:26:38,14,FAC351807,58,122.89,95.78,308,37850.12,4904.48,2023-06-03 04:26:38,922
61,2024-03-10 03:03:47,18,FAC367541,05,453.41,307.88,264,119700.24,13807.29,2024-03-10 03:03:47,531
62,2023-05-25 09:38:22,45,FAC644924,69,909.95,554.38,424,385818.8,61264.04,2023-05-25 09:38:22,560
63,2024-06-17 10:33:49,27,FAC761104,03,2024.78,1196.7,71,143759.38,38228.01,2024-06-17 10:33:49,467
64,2023-10-06 21:00:58,50,FAC514708,55,1611.46,1084.54,171,275559.66,54691.73,2023-10-06 21:00:58,211
65,2024-07-12 10:54:59,28,FAC827382,13,1385.87,764.41,430,595924.1,65117.63,2024-07-12 10:54:59,589
66,2024-08-10 00:25:04,8,FAC118841,06,758.09,500.83,268,203168.12,52023.5,2024-08-10 00:25:04,269
67,2024-06-07 07:58:39,13,FAC313051,47,1502.21,865.25,78,117172.38,23909.18,2024-06-07 07:58:39,800
68,2023-07-27 08:52:09,25,FAC899786,04,589.76,390.19,361,212903.36,25053.61,2023-07-27 08:52:09,284
69,2024-12-28 18:23:07,25,FAC881358,28,1801.03,1449.87,283,509691.49,58377.96,2024-12-28 18:23:07,117
70,2023-12-16 15:52:52,7,FAC457075,46,1479.97,882.89,443,655626.71,94227.21,2023-12-16 15:52:52,969
71,2023-12-21 05:03:44,4,FAC557431,74,1800.26,1127.6,310,558080.6,117229.45,2023-12-21 05:03:44,484
72,2024-06-26 13:47:49,7,FAC900117,72,673.61,513.19,483,325353.63,64112.24,2024-06-26 13:47:49,56
73,2024-05-15 11:27:05,42,FAC649969,34,276.96,166.94,368,101921.28,14490.32,2024-05-15 11:27:05,981
74,2024-09-12 15:30:15,19,FAC418773,71,606.8,444.76,70,42476.0,5231.59,2024-09-12 15:30:15,663
75,2024-08-15 02:02:27,1,FAC459251,39,1559.39,1035.33,279,435069.81,111399.04,2024-08-15 02:02:27,766
76,2024-07-28 23:34:50,16,FAC872442,68,1400.38,1103.43,391,547548.58,154707.03,2024-07-28 23:34:50,143
77,2023-12-20 19:43:47,9,FAC492484,79,228.45,169.17,158,36095.1,5296.94,2023-12-20 19:43:47,651
78,2024-06-11 12:01:07,47,FAC573467,89,522.35,435.09,102,53279.7,12435.76,2024-06-11 12:01:07,756
79,2024-12-19 21:48:55,45,FAC486130,73,1259.76,878.09,470,592087.2,64832.51,2024-12-19 21:48:55,262
80,2023-01-17 19:50:55,38,FAC701974,24,708.14,541.48,461,326452.54,51537.04,2023-01-17 19:50:55,921
81,2024-01-20 01:57:39,2,FAC711214,22,1168.49,729.1,281,328345.69,97971.4,2024-01-20 01:57:39,535
82,2023-04-07 22:21:07,26,FAC756369,54,1646.69,1018.71,411,676789.59,145210.27,2023-04-07 22:21:07,294
83,2023-08-18 04:02:25,50,FAC918433,85,694.41,483.46,463,321511.83,56320.38,2023-08-18 04:02:25,240
84,2023-03-24 01:27:32,19,FAC729471,96,379.8,278.65,378,143564.4,31717.97,2023-03-24 01:27:32,992
85,2023-10-13 02:30:47,47,FAC578362,12,694.52,510.71,439,304894.28,90324.06,2023-10-13 02:30:47,666
86,2024-02-22 10:08:20,34,FAC707418,50,503.06,319.34,324,162991.44,41840.91,2024-02-22 10:08:20,874
87,2024-11-24 05:29:36,41,FAC692801,14,1686.27,1033.02,177,298469.79,38617.92,2024-11-24 05:29:36,98
88,2023-03-15 14:47:47,19,FAC697144,80,162.01,123.58,306,49575.06,13755.48,2023-03-15 14:47:47,290
89,2024-06-23 02:08:46,13,FAC979950,29,1525.25,857.64,147,224211.75,27280.06,2024-06-23 02:08:46,858
90,2024-03-04 17:07:36,19,FAC523847,73,1700.63,1199.43,447,760181.61,223358.09,2024-03-04 17:07:36,266
91,2023-11-14 13:36:24,36,FAC833665,03,669.83,416.25,78,52246.74,9486.12,2023-11-14 13:36:24,631
92,2023-03-05 13:12:41,36,FAC579389,98,1314.24,970.47,253,332502.72,75826.55,2023-03-05 13:12:41,967
93,2023-07-19 16:55:04,27,FAC282362,96,457.35,275.11,65,29727.75,6789.44,2023-07-19 16:55:04,399
94,2023-04-26 16:20:50,14,FAC736203,29,1812.18,1257.71,420,761115.6,110835.23,2023-04-26 16:20:50,395
95,2023-04-08 22:21:24,21,FAC781773,32,642.71,377.66,358,230090.18,64786.95,2023-04-08 22:21:24,382
96,2023-08-22 11:56:40,34,FAC976579,37,586.74,394.14,337,197731.38,49710.15,2023-08-22 11:56:40,92
97,2023-02-16 01:19:20,1,FAC223527,19,538.68,350.96,258,138979.44,38560.76,2023-02-16 01:19:20,931
98,2024-03-13 06:09:59,45,FAC675932,19,235.84,169.17,272,64148.48,10794.13,2024-03-13 06:09:59,651
99,2024-01-01 01:47:18,26,FAC253734,56,24.11,14.3,233,5617.63,1173.52,2024-01-01 01:47:18,964
100,2023-03-31 07:23:22,43,FAC700743,49,713.8,507.33,451,321923.8,67643.53,2023-03-31 07:23:22,163
101,2023-04-02 05:48:18,23,FAC327155,02,1244.39,941.39,87,108261.93,30821.34,2023-04-02 05:48:18,134
102,2023-12-29 02:37:13,36,FAC970962,88,1380.21,997.29,268,369896.28,44258.3,2023-12-29 02:37:13,986
103,2023-06-29 08:51:22,10,FAC699268,44,592.86,402.04,463,274494.18,56463.71,2023-06-29 08:51:22,559
104,2023-05-02 23:15:16,49,FAC380019,52,1050.31,757.79,481,505199.11,69923.69,2023-05-02 23:15:16,731
105,2023-12-26 19:29:35,35,FAC425837,66,207.26,159.91,350,72541.0,18806.74,2023-12-26 19:29:35,233
106,2024-06-22 05:18:11,18,FAC972970,22,1378.66,1069.31,70,96506.2,26146.17,2024-06-22 05:18:11,786
107,2024-05-27 08:05:10,31,FAC993604,66,1927.95,1189.17,50,96397.5,9765.32,2024-05-27 08:05:10,854
108,2023-06-24 02:03:53,28,FAC157829,15,1518.42,1061.33,249,378086.58,42542.68,2023-06-24 02:03:53,456
109,2023-12-27 01:46:22,49,FAC800779,25,1883.21,1460.84,153,288131.13,33138.35,2023-12-27 01:46:22,340
110,2023-04-15 13:11:47,40,FAC150243,09,1172.27,958.9,471,552139.17,149568.95,2023-04-15 13:11:47,286
111,2024-10-14 12:44:16,25,FAC183995,38,1281.83,940.51,363,465304.29,106860.41,2024-10-14 12:44:16,934
112,2024-05-27 04:14:16,41,FAC156962,59,1059.88,763.45,489,518281.32,128298.5,2024-05-27 04:14:16,984
113,2024-08-23 03:45:30,27,FAC305415,75,1570.0,1061.33,491,770870.0,174145.27,2024-08-23 03:45:30,456
114,2024-05-25 12:22:24,29,FAC865435,48,25.09,15.85,371,9308.39,1198.27,2024-05-25 12:22:24,549
115,2024-04-11 14:13:05,15,FAC619326,57,1917.91,1207.49,188,360567.08,37269.5,2024-04-11 14:13:05,447
116,2024-08-09 05:47:46,29,FAC849013,58,2000.21,1433.17,250,500052.5,66238.18,2024-08-09 05:47:46,461
117,2024-05-11 09:26:57,9,FAC804007,17,1829.27,1093.23,440,804878.8,219412.59,2024-05-11 09:26:57,500
118,2023-07-22 13:19:48,39,FAC196541,96,557.59,469.28,59,32897.81,6944.49,2023-07-22 13:19:48,404
119,2024-02-03 18:57:41,32,FAC503149,07,650.89,485.87,472,307220.08,59855.03,2024-02-03 18:57:41,940
120,2024-09-15 13:15:30,11,FAC915519,34,1374.84,882.89,358,492192.72,55794.39,2024-09-15 13:15:30,969
121,2023-12-10 13:15:54,2,FAC375564,09,1601.53,1285.78,318,509286.54,119644.9,2023-12-10 13:15:54,26
122,2023-07-22 19:39:46,13,FAC239110,41,1389.23,1138.73,282,391762.86,57362.94,2023-07-22 19:39:46,450
123,2024-10-15 14:20:25,23,FAC520806,14,1105.98,651.17,137,151519.26,21292.05,2024-10-15 14:20:25,603
124,2023-08-09 07:14:33,30,FAC314871,22,365.27,257.25,90,32874.3,6339.84,2023-08-09 07:14:33,355
125,2023-01-18 08:17:04,44,FAC498280,15,1311.65,1035.42,358,469570.7,62301.03,2023-01-18 08:17:04,473
126,2024-10-26 03:43:06,15,FAC802160,41,472.79,358.53,171,80847.09,21427.19,2024-10-26 03:43:06,357
127,2023-03-23 18:36:02,9,FAC461722,49,1136.71,899.93,329,373977.59,80288.18,2023-03-23 18:36:02,849
128,2023-02-15 23:20:29,8,FAC800318,70,679.97,447.61,279,189711.63,21791.65,2023-02-15 23:20:29,398
129,2024-02-02 09:59:19,19,FAC276888,75,348.82,274.47,353,123133.46,13524.59,2024-02-02 09:59:19,33
130,2024-08-19 08:54:00,21,FAC635055,06,706.57,505.51,492,347632.44,62267.13,2024-08-19 08:54:00,183
