Id,DateFin,TauxReduction,CodeArticle,Prix_Vente_TND_Avant,Prix_Vente_TND_Apres,IsAccepted,DateCreation,DateApproval,ApprovedBy
1,2025-06-02,0.3,ART000095,36.55,25.58,False,2025-05-07,,User2
2,2025-05-13,0.5,ART000089,109.74,54.87,True,2025-05-05,,
3,2025-04-23,0.21,ART000079,143.57,113.42,False,2025-04-14,2025-04-14,
4,2025-04-18,0.25,ART000040,168.79,126.59,False,2025-03-27,2025-03-27,
5,2025-04-28,0.29,ART000072,66.36,47.12,True,2025-04-17,2025-04-17,
6,2025-05-22,0.3,ART000033,164.59,115.21,True,2025-04-26,2025-04-26,User2
7,2025-06-11,0.35,ART000015,21.78,14.16,True,2025-05-28,2025-05-28,User4
8,2025-04-19,0.4,ART000090,14.5,8.7,True,2025-04-02,2025-04-02,User1
9,2025-04-18,0.39,ART000070,113.12,69.0,False,2025-04-05,2025-04-05,User3
10,2025-04-28,0.34,ART000074,177.28,117.0,True,2025-04-04,2025-04-04,User8
11,2025-05-26,0.42,ART000055,71.15,41.27,False,2025-05-08,2025-05-08,User2
12,2025-04-18,0.14,ART000035,188.74,162.32,False,2025-03-27,2025-03-27,
13,2025-06-13,0.24,ART000063,163.23,124.05,False,2025-05-20,2025-05-20,
14,2025-06-05,0.11,ART000043,12.26,10.91,True,2025-05-07,2025-05-07,User10
15,2025-04-20,0.38,ART000072,43.71,27.1,True,2025-04-02,2025-04-02,User1
16,2025-06-05,0.13,ART000095,60.48,52.62,False,2025-05-16,2025-05-16,User5
17,2025-06-08,0.35,ART000045,169.14,109.94,False,2025-05-12,2025-05-12,User10
18,2025-03-26,0.36,ART000071,77.12,49.36,False,2025-03-18,2025-03-18,
19,2025-05-28,0.09,ART000015,38.87,35.37,True,2025-05-12,2025-05-12,
20,2025-04-21,0.36,ART000048,86.72,55.5,True,2025-04-03,2025-04-03,
21,2025-05-21,0.43,ART000037,109.15,62.22,True,2025-05-10,2025-05-10,User7
22,2025-05-26,0.22,ART000078,93.03,72.56,True,2025-05-07,2025-05-07,User1
23,2025-04-07,0.18,ART000055,191.04,156.65,True,2025-03-20,2025-03-20,User6
24,2025-05-01,0.31,ART000017,199.56,137.7,True,2025-04-21,2025-04-21,User6
25,2025-04-11,0.06,ART000038,46.41,43.63,False,2025-03-31,,User6
26,2025-06-12,0.23,ART000052,69.13,53.23,True,2025-06-03,2025-06-03,
27,2025-07-11,0.32,ART000067,131.08,89.13,False,2025-06-12,2025-06-12,
28,2025-04-25,0.36,ART000097,30.11,19.27,True,2025-03-29,,
29,2025-06-29,0.22,ART000056,91.42,71.31,True,2025-06-07,2025-06-07,User3
30,2025-05-04,0.4,ART000087,64.88,38.93,True,2025-04-16,2025-04-16,User7
